,run,hr,min,sec,AoA,rounded_AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,rounded_v,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,rounded_J,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw
0,33.0,9.0,57.0,15.0,-4.995,-5,0.0,418.37,100757.0,286.42999999999995,-656.3,22.9,-54.7,-95.8,-1342.0,-37.0,0.0,1.2254600953057115,980.5387550946276,40.00348178253014,40,454115.77195486403,123.03,123.03,11.26,11.23,0.0,100757.0,1.4533209930516274e-05,1.6,1.600158729231353,1.600158729231353,-6.031749932724279,-0.09977471095423057,-42.236780950024254,-0.7393713554415764,-11.380227913373918,0.23965638071687095,-0.028325614848053352,-0.00046855059735358135,-0.1983475447351031,-0.0024861642275806803,-0.3239340772938907,0.0008058536705062031,-0.19512800275722278,-0.04548792695805387,-0.1983475447351031,-0.028325614848053356,0.00046855059735358135,-0.002538118646724778,-0.3159504186697767,-0.267168417980471,0.0010237842452849805
1,34.0,9.0,58.0,14.0,7.001,7,0.0,418.59,100756.0,286.60999999999996,336.3,14.3,2372.4,2330.2,-1795.2,-24.3,0.0,1.2246783133344135,981.0583620370156,40.02684929440837,40,453869.236936047,123.03,123.03,11.52,11.46,0.0,100756.0,1.454959815023366e-05,1.6,1.6010934410725783,1.6010934410725783,3.1487540649798533,-0.06993886397835428,244.19534574830703,-0.7100475185789309,-28.036196624289104,0.1666587464592095,0.014778987385564235,-0.0003282649477114384,1.1461549107839955,-0.0023862971676364172,-0.7976175375614518,0.000560099548595547,1.1394105693222083,-0.12503220584814267,1.1461549107839955,0.014778987385564213,0.0003282649477114384,-0.0025286062660603336,-0.801783039024681,-1.086635681355233,0.0002477200711904024
2,35.0,9.0,58.0,56.0,12.001,12,0.0,417.55,100755.0,286.60999999999996,2354.4,10.8,2795.2,2747.0,-1066.8,8.6,0.0,1.2246661584422647,978.6020777720856,39.976908492964334,40,453298.4531916427,123.03,123.03,10.94,11.38,0.0,100755.0,1.454974255595199e-05,1.6,1.5990957847233156,1.5990957847233156,21.717022642712394,0.2890492417935142,313.47956849235476,-0.5007279446038175,-40.68381392281296,-0.04641894379082033,0.10218683115109188,0.001360086350299807,1.4750403064848723,-0.001687048823045252,-1.1603418785772064,-0.0001563943561233992,1.4640493653747444,-0.20674987294191077,1.4750403064848723,0.10218683115109187,-0.001360086350299807,-0.0012426917619694769,-1.189143540259278,-1.555155881602964,-0.0004113675571338937
3,36.0,9.0,59.0,27.0,14.001,14,0.0,417.77,100758.0,286.66999999999996,3488.2,-58.7,2853.4,2859.5,-358.6,40.9,0.0,1.2244462929921294,979.1216680187064,39.99110996613043,40,453304.2406515956,123.04,123.03,11.45,12.22,0.0,100758.0,1.4554725407672255e-05,1.6,1.5995338388662748,1.59966385055764,32.14030279234124,-0.4185282249894817,341.35907697178453,-0.38692560239203533,-43.85996548664963,-0.2589857228672511,0.1511520645171352,-0.0019682890256070293,1.6053715971289497,-0.0013029350326960606,-1.2502649752682176,-0.000872109700691134,1.5942479748319256,-0.24174016261360337,1.6053715971289497,0.15115206451713525,0.0019682890256070293,-0.001591516369475005,-1.2928676333184732,-1.6914296270264546,-0.001231250241979283
6,39.0,10.0,1.0,57.0,-4.995,-5,0.0,417.32,100752.0,286.88,184.0,24.3,-226.1,-268.3,-579.2,-37.5,0.0,1.2234771212012732,978.0588745763722,39.985227433536735,40,452620.88939829136,109.36,109.36,6.82,7.31,0.0,100752.0,1.4574555450817509e-05,1.8,1.7993571146916678,1.7993571146916678,1.699106370950575,-0.08010509326478576,-44.578955423240075,-0.7611369653642691,-9.627861977092358,0.24097287406916904,0.00799938043252093,-0.0003771341962828949,-0.2098773977966931,-0.002565841185349809,-0.2747484801974277,0.0008123349055092579,-0.20977684293739143,-0.010304773672262721,-0.2098773977966931,0.007999380432520931,0.0003771341962828949,-0.002591260569392467,-0.27700312931697024,-0.2245589185826224,0.0010348678703653504
7,40.0,10.0,2.0,44.0,7.001,7,0.0,417.35,100754.0,286.95,1136.6,11.8,2177.3,2134.5,-1024.8,-21.9,0.0,1.2232029411308545,978.1297268894717,39.99115694894886,40,452500.67932802875,109.36,109.36,7.43,6.69,0.0,100754.0,1.458058916027122e-05,1.8,1.799623946129884,1.799623946129884,10.51182366543235,-0.07668413039003444,239.16129693214316,-0.7527145926169789,-25.808802330838105,0.14920511010575463,0.049486004484067904,-0.000361002176322372,1.12588808460694,-0.002537265026454805,-0.7364475717195547,0.0005029434945899974,1.1235251747264652,-0.0881137075349076,1.1258880846069401,0.04948600448406791,0.000361002176322372,-0.002680640239457296,-0.7503953489731638,-1.0312766426547801,0.00017245925709996076
5,38.0,10.0,0.0,49.0,12.005,12,0.0,418.17,100757.0,286.77,3047.8,34.8,2620.6,2566.7,-351.9,-3.7,0.0,1.2240071663647345,980.0663890340431,40.0175747931528,40,453318.5228185626,109.36,109.37,7.56,7.07,0.0,100757.0,1.4563898393752021e-05,1.8,1.800812763575081,1.8006481103096903,28.096439551948382,0.5235385152359457,309.28362360642285,-0.3704493629759322,-38.14248834741588,0.032399841179537044,0.13200688230607066,0.002459766727227682,1.4531224436861745,-0.0012462504047765085,-1.0862354391977904,0.00010899820385793451,1.4487989034426871,-0.17312536123836775,1.4531224436861745,0.1320068823060707,-0.002459766727227682,-0.0005635356656466301,-1.1234419708130323,-1.485641696673704,-1.0599402197141434e-05
4,37.0,10.0,0.0,18.0,14.001,14,0.0,417.69,100757.0,286.72999999999996,4131.2,-61.6,2659.0,2672.1,317.3,40.3,0.0,1.2241779203376522,978.9327255925722,39.99163410992599,40,453137.03943106957,109.35,109.36,8.25,7.25,0.0,100757.0,1.456028672949254e-05,1.8,1.7998099952621789,1.7996454186349602,38.056367848365596,-0.468990143674517,334.55290953946445,-0.35032714956497885,-41.336297560563764,-0.256716891257561,0.1790091664200857,-0.0022060311959596814,1.5736666646353608,-0.0011799209271766565,-1.1785531386864603,-0.0008646364768778709,1.5702246628582486,-0.20703999903085077,1.5736666646353605,0.1790091664200857,0.0022060311959596814,-0.001538982510569838,-1.2290074035965612,-1.6215635693111234,-0.00121128905602646
10,43.0,10.0,5.0,5.0,-4.995,-5,0.0,416.94,100749.0,286.96,2002.2,26.4,-614.5,-658.5,1135.9,-38.3,0.0,1.2230996145431592,977.1614191533154,39.97304559700552,40,452245.28365566774,56.24,56.24,-0.87,-0.82,0.0,100749.0,1.4582216186920367e-05,3.5,3.497826174960021,3.497826174960021,18.426730152402214,-0.04865595805557843,-50.174199540270294,-0.8129164964940296,-5.000755895095265,0.24192880623217838,0.08683258806380557,-0.00022928228327797264,-0.2364367179677563,-0.002742910144888068,-0.14283669248201417,0.0008163064469928312,-0.24309921220167233,0.06591656074272367,-0.2364367179677563,0.08683258806380557,0.00022928228327797264,-0.0027257970358744816,-0.16731071517378926,-0.10653591212337118,0.001050538258899078
11,44.0,10.0,6.0,1.0,7.001,7,0.0,417.62,100752.0,287.04999999999995,2950.5,8.1,1727.0,1685.5,735.4,-22.1,0.0,1.222752539732525,978.767401455585,40.01155769428753,40,452442.17762199644,56.23,56.23,-0.96,-0.88,0.0,100752.0,1.4589913438778196e-05,3.5,3.501818817669514,3.501818817669514,27.200466146000682,-0.12999688330889364,227.266610395361,-0.8471173453075547,-20.578056036179674,0.14623923138173076,0.12796689474719214,-0.0006115813381491669,1.0691950004059152,-0.0028536192988569183,-0.5868070058455366,0.0004926248945704211,1.0768205668788169,-0.003307837817567688,1.0691950004059152,0.12796689474719217,0.0006115813381491669,-0.003063477973631484,-0.6228748549753753,-0.8920799966950795,0.00011555477704823503
