Unnamed: 0,run,hr,min,sec,AoA,rounded_AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,rounded_v,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,rounded_J,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,Thrust coefficient
0,1.0,9.0,25.0,38.0,-4.994,-5,0.0,418.34,100774.0,286.36,-36.3,9.1,-1209.8,-1254.3,1758.8,-27.4,0.0,1.225966469584696,980.4678999495408,39.99377431021692,40,454279.5756552534,123.02,123.02,12.65,12.16,0.0,100774.0,1.452444411971774e-05,1.6,1.5999004671083237,1.5999004671083237,-0.3246083142276416,-0.1885840642753536,-107.95438978847412,-1.0054771668494875,22.751908689209547,0.1720628586144442,-0.0015244986380945,-0.0008856709349486,-0.5069997070175013,-0.003381199442382,0.6476716650937002,0.0005786096997356,-0.5049423348726109,-0.0456537563112372,-0.5069997070175013,-0.0015244986380945,0.0008856709349486,-0.0035666763479188,0.6481013495600308,0.6481013495600308,0.0008868974372613,0.3978804986532626
1,2.0,9.0,26.0,27.0,7.001,7,0.0,417.67,100780.0,286.54999999999995,-173.1,-6.8,1515.9,1477.2,175.9,-17.9,0.0,1.2252265242090592,978.8854900785872,39.97355269083673,40,453541.67758026,123.04,123.02,12.93,11.3,0.0,100780.0,1.4540719148728096e-05,1.6,1.598831596393527,1.5990915267457286,-1.5351101867440975,-0.3197927790106795,187.76516795230083,-0.9940423309198216,2.3947969084879963,0.1222986194157812,-0.0072211845395476,-0.001504310694823,0.8832505572505521,-0.0033481502856829,0.0682821581160004,0.0004119282899719,0.8757848965954966,-0.1148238097468479,0.8832505572505521,-0.0072211845395476,0.001504310694823,-0.0037942282676808,0.0703174704131822,0.0703174704131822,-5.360887308847312e-05,0.16053362776259608
3,4.0,9.0,27.0,37.0,12.005,12,0.0,418.79,100780.0,286.53,1362.7,44.5,1992.2,1935.0,728.7,-21.3,0.0,1.2253120459013225,981.5307358716826,40.026129687893,40,454194.58519857295,123.03,123.03,13.17,12.34,0.0,100780.0,1.453891460829496e-05,1.6,1.6010646564619424,1.6010646564619424,12.59599930395778,0.4642758237280038,258.5470622579608,-0.5360375447199472,-7.849799812459178,0.1469087481471287,0.0590921110521613,0.0021780755835663,1.2129320863297433,-0.0018006249397819,-0.2232158958773352,0.0004934869924532,1.1986955832294537,-0.1944865609316615,1.2129320863297433,0.0590921110521614,-0.0021780755835663,-0.0012634173224111,-0.2398711827810584,-0.2398711827810584,0.0002199070867772,0.13909876894263573
2,3.0,9.0,27.0,8.0,14.001,14,0.0,417.65,100783.0,286.53,2273.4,-9.4,2083.0,2053.8,1185.7,3.9,0.0,1.225348520758811,978.8382546016217,39.9705983315717,40,453577.94741920487,123.03,123.03,13.23,11.84,0.0,100783.0,1.4538481829514562e-05,1.6,1.5988433751983104,1.5988433751983104,20.96673303443639,-0.0824400898703017,282.6153958330451,-0.6683842943258074,-12.118078176906156,-0.0189484585771465,0.0986326297780289,-0.0003878183048207,1.3294918030858187,-0.0022513719865107,-0.3455359647063526,-6.382560031751939e-05,1.313857663988279,-0.2259532892183099,1.3294918030858187,0.0986326297780289,0.0003878183048207,-0.0022751055910891,-0.3733358641814568,-0.3733358641814568,-0.0006123658234981,0.8479069457596426
4,5.0,9.0,28.0,46.0,-4.994,-5,0.0,417.74,100780.0,286.67,739.0,0.8,-1301.7,-1340.7,2288.8,-25.6,0.0,1.2247136446510132,979.0508145394946,39.9852979195156,40,453337.3226802247,109.36,109.37,7.33,7.61,0.0,100780.0,1.4551548150687052e-05,1.8,1.7993602865992873,1.7991957661378626,6.808086074824027,-0.2962363473245357,-105.85938423916102,-1.0457711411179025,22.12142558007533,0.1585677842684547,0.032019945319777,-0.0013932655284924,-0.4978802643899918,-0.0035217893472285,0.6306353612102162,0.0005340005202795,-0.4987776028082099,-0.0114427926759729,-0.4978802643899918,0.032019945319777,0.0013932655284924,-0.0038531397751577,0.6216104445767309,0.6216104445767309,0.000867394650707,0.279625596601046
5,6.0,9.0,29.0,34.0,7.001,7,0.0,418.19,100779.0,286.77,665.8,-5.0,1382.8,1343.3,816.6,-18.9,0.0,1.2242744247950177,980.1136254735142,40.0141708978296,40,453378.935911482,109.36,109.37,7.61,7.67,0.0,100779.0,1.4560719102782052e-05,1.8,1.8006595864229031,1.8004949471629208,6.182850156030476,-0.3003658119972966,187.13877939327983,-1.007109076873043,2.5722199777892536,0.1271068239290161,0.0290477886257468,-0.0014111554375595,0.8792009462164083,-0.0033879113592448,0.0732490710527347,0.0004275869044529,0.8761861836017093,-0.0783316635680966,0.8792009462164082,0.0290477886257468,0.0014111554375595,-0.0038095411389332,0.0650618656057425,0.0650618656057425,-3.993344368671364e-05,0.11242530475872484
6,7.0,9.0,30.0,1.0,12.001,12,0.0,418.28,100783.0,286.73,2068.0,35.7,1832.1,1786.7,1342.2,-18.5,0.0,1.2244938152722846,980.3261899092488,40.014924561252975,40,453517.9373438719,109.35,109.36,8.48,7.29,0.0,100783.0,1.4556530466482244e-05,1.8,1.8008581741632272,1.8006935016893646,19.08508325953511,0.361383730641242,254.7110413543836,-0.4742500148068205,-6.734384612573228,0.1270075994489414,0.0896446208733882,0.0016974569658719,1.1964042505851675,-0.0015950294404247,-0.1917333904470719,0.0004271604722274,1.1888953006944776,-0.1610815099767117,1.1964042505851675,0.0896446208733882,-0.0016974569658719,-0.0011810107474454,-0.2169999929332114,-0.2169999929332114,0.0001722583374872,0.10289284787648574
7,8.0,9.0,30.0,28.0,14.001,14,0.0,417.78,100783.0,286.71,2969.0,-26.7,1918.8,1905.6,1790.5,7.3,0.0,1.2245792321614948,979.14528586362,39.989421501483726,40,453285.1073560092,109.36,109.36,7.95,7.9,0.0,100783.0,1.455472522584694e-05,1.8,1.7995458500443045,1.7995458500443045,27.36667317463562,-0.3135074187711352,278.3200324889282,-0.6732334899858697,-11.022259574468467,-0.0430040997475808,0.1286991413652354,-0.0014743529602594,1.308874811983661,-0.0022669948318838,-0.3141911430546615,-0.0001448087080154,1.3011274293362034,-0.191791957762508,1.3088748119836608,0.1286991413652354,0.0014743529602594,-0.0025678163451338,-0.3504653780673303,-0.3504653780673303,-0.0007617611423326,0.628021592077027
8,9.0,9.0,31.0,22.0,-4.994,-5,0.0,417.09,100781.0,286.77,2390.3,4.8,-1503.6,-1546.6,3471.4,-25.9,0.0,1.2242987210159522,977.5156762764798,39.96070718657001,40,452782.1529720835,56.19,56.18,-0.85,-0.81,0.0,100781.0,1.4560430145159034e-05,3.5,3.4998580451317816,3.500481017371926,21.999776411375148,-0.230595006736574,-101.79649907585645,-1.0774834388411527,21.4731584042244,0.1572363500521499,0.1036323430350175,-0.0010862428959928,-0.4795234967269189,-0.0036342837180518,0.6131159836433915,0.000530348297042,-0.4867244817302228,0.0614957341657531,-0.4795234967269189,0.1036323430350175,0.0010862428959928,-0.0038793182913519,0.5839069001461089,0.5839069001461089,0.0008660351690025,0.027168972542058505
10,11.0,9.0,33.0,10.0,7.006,7,0.0,417.91,100780.0,286.83,2479.3,24.2,1004.0,939.9,2426.0,-23.5,0.0,1.2240304727961018,979.4523186896898,40.00465525970596,40,453107.0501855664,56.19,56.19,-0.92,-0.87,0.0,100780.0,1.4565991510642724e-05,3.5,3.5037071265961,3.5037071265961,22.86749282108032,0.1160827788541602,178.7198160639112,-1.020667461025635,5.858593831998956,0.1538472338742386,0.1075068244559898,0.0005457393613843,0.8402145369726625,-0.0034358399611785,0.166947735446551,0.0005178909823682,0.847053937935793,0.0042203876910026,0.8402145369726625,0.1075068244559898,-0.0005457393613843,-0.0033206849695284,0.1366466178601076,0.1366466178601076,0.000108989245332,0.008354736753081089
