,Unnamed: 0,run,hr,min,sec,AoA,rounded_AoA,AoS,dPb,pBar,temp,B1,B2,B3,B4,B5,B6,rpmWT,rho,q,V,rounded_v,Re,rpsM1,rpsM2,iM1,iM2,dPtQ,pInf,nu,rounded_J,J_M1,J_M2,FX,FY,FZ,MX,MY,MZ,CFX,CFY,CFZ,CMX,CMY,CMZ,CN,CT,CL,CD,CYaw,CMroll,CMpitch,CMpitch25c,CMyaw,delta_e,Drag coefficient,Thrust coefficient,CL_strut_cor,CMpitch25c_strut_cor,V cor,q cor,CDbcor,CMbcor,CL cor,CLa,CM25ca,dAoA,dCD,dCM25c,AoA cor,CD cor,CM cor
0,0.0,65.0,10.0,28.0,22.0,-4.994,-5,-0.005,417.93,100736.0,286.54,-570.8,21.2,-565.7,-607.8,-48.9,-39.1,0.0,1.2247343376561788,979.499554647908,39.99412246757025,40,453605.09454468766,123.02,123.03,13.09,12.28,0.0,100736.0,1.4546167645736304e-05,1.6,1.5999143947038514,1.5997843520805313,-5.2436403316632685,-0.1473812917766228,-73.2131096576883,-0.8557165777158547,4.52482589150298,0.2513060672653869,-0.0246507100516561,-0.0006928494825791,-0.3441798109710013,-0.0028804322074253,0.1289341825413884,0.0008459227142762,-0.3407273629651139,-0.0545184731345669,-0.3441798109710013,-0.0246507704203166,0.0006906982996769,-0.0029903991514251,0.1358820583403832,0.1358820583403832,0.0011030299345165,0,0.03355374346814873,0.05844512917430738,-0.3669798109710013,0.1345820583403832,40.240902276727965,991.3332659025903,0.03315320681173558,0.1329755297659478,-0.36259911149414603,6.8938101771169515,-3.03205481217503,-0.0007271533552499076,0.00011812936780287136,0.004197235497860418,-5.00072715335525,0.03327133617953845,0.1371727652638082
1,46.0,111.0,11.0,8.0,17.0,-3.994,-4,-0.005,416.8,100714.0,287.34,-672.7,21.9,-309.4,-355.9,-271.2,-40.0,0.0,1.221057755314085,976.830781050432,39.99968422333736,40,451326.4478480881,123.03,123.03,11.57,11.69,0.0,100714.0,1.4621641071803442e-05,1.6,1.6000068250164865,1.6000068250164865,-6.174145620911252,-0.1471533329649534,-47.48924857953004,-0.912333979315008,2.616469356556859,0.2585319620906456,-0.0291043773929703,-0.0006936678206519,-0.2238601253728171,-0.0030794025814224,0.0747595636079837,0.0008726234136756,-0.221289269058311,-0.0446260004370128,-0.2238601253728171,-0.0291044378160859,0.0006911279819526,-0.003206181318906,0.0829627187669907,0.0829627187669907,0.0010938210856491,0,0.030668040038708412,0.05973525444464015,-0.2434601253728171,0.0837627187669907,40.240712312795125,988.6229158368458,0.030302236600432388,0.08276361055904395,-0.24055617224010695,6.8938101771169515,-3.03205481217503,-0.0003493347260671773,2.726398748442469e-05,0.002016411121943575,-4.000349334726067,0.03032950058791681,0.08478002168098753
2,33.0,98.0,10.0,59.0,43.0,-2.994,-3,-0.005,417.63,100719.0,286.79999999999995,-745.0,18.6,-59.3,-103.4,-462.3,-36.1,0.0,1.2234175522320183,978.7910191616756,40.00116429069415,40,452877.49037520576,123.02,123.02,11.21,11.14,0.0,100719.0,1.4572103157859285e-05,1.6,1.6001960939507849,1.6001960939507849,-6.83286695677161,-0.1514748064731628,-21.34712270956371,-0.8663237373094796,0.8091643576226524,0.2344501892203354,-0.0321450251493216,-0.0007126088498976,-0.1004269219210434,-0.0029182479826183,0.0230736983058532,0.0007897553330832,-0.0986108611510417,-0.0373465842003769,-0.1004269219210434,-0.0321450872137759,0.0007098036645528,-0.0030735913523592,0.0321338690605713,0.0321338690605713,0.0009492152418786,0,0.028315563290265813,0.06085406327110081,-0.1191269219210434,0.0345338690605713,40.240547757806205,990.5987159150486,0.027978048634370513,0.03412223370607637,-0.11770695786636859,7.072201609566258,-2.912278565682605,4.170857241920287e-05,3.886480611789359e-07,-0.00023386240356438148,-2.9999582914275806,0.02797843728243169,0.03388837130251199
3,39.0,104.0,11.0,3.0,28.0,-1.994,-2,-0.005,417.25,100717.0,287.11,-790.5,14.9,182.0,139.0,-625.0,-32.6,0.0,1.2220723296049087,977.8935528363936,40.00482121523746,40,452040.86894458113,123.03,123.03,11.18,11.17,0.0,100717.0,1.4600407350574258e-05,1.6,1.600212307191154,1.600212307191154,-7.245478111601077,-0.1670033805946315,4.327991270804262,-0.8554827059979436,-0.9059754987313386,0.2128513923491503,-0.03411742511867,-0.0007863836235843,0.0203795961869647,-0.0028843742327935,-0.0258580226181731,0.0007176569055127,0.0215543662234977,-0.0333876614062013,0.0203795961869648,-0.0341174936136775,0.0007834063135907,-0.0030791672654522,-0.0162419250774006,-0.0162419250774006,0.0008243614812046,0,0.026592416280485632,0.06053583733087634,0.0027795961869648,-0.0117419250774006,40.24059454532114,989.6927243768074,0.02627538001898829,-0.011601937195515164,0.0027464576870897713,6.921703625259624,-2.7717288346994975,0.00043376915315970993,4.2036174297113704e-05,-0.0023455598769740625,-1.9995662308468403,0.026317416193285405,-0.013947497072489226
4,45.0,110.0,11.0,7.0,50.0,-0.994,-1,-0.005,417.22,100710.0,287.23999999999995,-804.6,-9.3,406.7,381.9,-754.9,-25.0,0.0,1.221434342561601,977.82270080094,40.01381797858296,40,451747.422818022,123.03,123.03,11.38,11.14,0.0,100710.0,1.4613177131717457e-05,1.6,1.6005721821010528,1.6005721821010528,-7.369627173657727,-0.4587693782405035,29.817723780229542,-0.861072122084442,-2.5157691117964625,0.1639799674158459,-0.0347045312861235,-0.0021604045720484,0.1404155330287031,-0.0029034300601934,-0.0718093682959673,0.0005529204284446,0.140996446803585,-0.0322634219556477,0.1404155330287032,-0.034704719684843,0.0021573760221446,-0.0035022260550212,-0.0620277931391853,-0.0620277931391853,0.0006135927992942,0,0.025594149674337954,0.060160283444245025,0.12351553302870319,-0.0561277931391853,40.240649779251086,989.6237341415929,0.02528894537980422,-0.05545848223310912,0.12204263896495622,6.877552570930517,-2.623337001283094,0.0008235917129411377,0.00015154087518116932,-0.004275840712206543,-0.9991764082870589,0.02544048625498539,-0.059734322945315665
5,38.0,103.0,11.0,3.0,0.0,0.006,0,-0.005,417.4,100718.0,287.02,-801.8,-30.3,628.5,615.4,-860.0,-13.6,0.0,1.2224676686868654,978.247814263068,40.00559647049257,40,452306.1443035533,123.03,123.03,11.33,11.28,0.0,100718.0,1.4592127058522603e-05,1.6,1.600243317778447,1.600243317778447,-7.338889464410131,-0.6526559857254514,55.15760046091532,-0.8708610663800391,-3.983312198770365,0.0905182513770388,-0.0345447649073692,-0.0030721061683254,0.2596314265281099,-0.0029351611087148,-0.1136490739280734,0.000305083854736,0.2596278075852062,-0.034571953257314,0.2596314265281099,-0.0345450328676702,0.0030690915571967,-0.003801075278684,-0.1039125293993793,-0.1039125293993793,0.0003046858053915,0,0.02541576174409824,0.060057461941547666,0.2434314265281099,-0.09741252939937929,40.24066490488891,990.054722446079,0.02511266580555006,-0.09625083523801845,0.24052838244709615,6.83056754839711,-2.3998186137276796,0.0012117866211159628,0.0003280636870621215,-0.0058890462738734675,0.0012117866211159628,0.025440729492612182,-0.1021398815118919
6,47.0,112.0,11.0,8.0,47.0,1.001,1,-0.005,416.97,100715.0,287.42999999999995,-776.0,-23.9,840.8,823.5,-929.6,-14.8,0.0,1.220687538272233,977.2322704113608,40.01397000986698,40,451240.85909787146,123.04,123.03,11.95,12.08,0.0,100715.0,1.4629637492713454e-05,1.6,1.600448177416656,1.6005782634263626,-7.097092725088626,-0.5646721649850697,79.22349936635081,-0.8438425366312394,-5.228730533994898,0.0993785756038849,-0.0334413237709329,-0.0026607211466951,0.3732991515259308,-0.0028470531136879,-0.1493375086884598,0.0003352948812422,0.3726579673460653,-0.0399577031250691,0.3732991515259308,-0.0334415558353199,0.0026578028305374,-0.0036022938859038,-0.1399119723194251,-0.1399119723194251,0.0002723121527182,0,0.026151698369347335,0.05983511678626592,0.35889915152593077,-0.1328119723194251,40.2406976180672,989.0285295801268,0.025839783998384568,-0.1312279083623823,0.3546185192891161,6.545407948973692,-2.0729810493876752,0.0015914363583561214,0.0005658279634118901,-0.006988758647369509,1.001591436358356,0.026405611961796457,-0.1382166670097518
7,34.0,99.0,11.0,0.0,31.0,2.001,2,-0.005,416.98,100717.0,286.96,-732.4,-24.0,1049.4,1030.1,-976.8,-13.7,0.0,1.2227111323977744,977.2558875158858,39.98132773290784,40,452195.3133508748,123.03,123.03,10.84,11.23,0.0,100717.0,1.4586849276845415e-05,1.6,1.5992725564706003,1.5992725564706003,-6.692140946262811,-0.551952715379091,103.51775814563231,-0.8620123203088368,-6.370491827339053,0.0930749985559765,-0.0315324390418838,-0.0026007245650456,0.4877613045945304,-0.0029082861364653,-0.1819428982436489,0.00031401955816,0.4863628601497353,-0.0485443430139642,0.4877613045945305,-0.0315326658778499,0.0025979728307339,-0.0036500522717382,-0.1730553867016573,-0.1730553867016573,0.0001863794207846,0,0.027895853036971466,0.0593118571061437,0.4747613045945305,-0.1657553867016573,40.24077463073526,989.0562174705985,0.027563030428519257,-0.1637777759043128,0.46909697536330364,6.558198284811167,-1.8989777627550977,0.0019651858585223443,0.0008628059185212418,-0.008190467189922848,2.001965185858522,0.0284258363470405,-0.17196824309423564
8,42.0,107.0,11.0,5.0,38.0,3.005,3,-0.005,417.58,100713.0,287.12,-648.9,-8.5,1256.0,1224.2,-990.2,-20.0,0.0,1.2219812332763669,978.6729307237704,40.0222516015584,40,452191.86648658046,123.02,123.03,11.59,11.58,0.0,100713.0,1.4601891307299103e-05,1.6,1.6010396652086534,1.6009095311222346,-5.920766195267072,-0.3815020611640773,127.74965459770276,-0.8860212098196667,-7.474333067402993,0.1350517920070575,-0.0278574343963824,-0.0017949819821391,0.6010670755688398,-0.0029849598752405,-0.2131598036975684,0.0004549825396419,0.5987802134180846,-0.0593289305737017,0.6010670755688398,-0.027857590932037,0.0017925509555505,-0.0035099323838178,-0.2053081031234623,-0.2053081031234623,0.0002703553756039,0,0.030741566841162245,0.058808235934603555,0.5902670755688397,-0.1987081031234623,40.24084878827683,990.49402206999,0.030374680356581706,-0.19633661315389384,0.5832225090560776,6.466078158669151,-1.8405822000017014,0.0023279487103439966,0.0012107449610798187,-0.009578838352660846,3.002327948710344,0.03158542531766152,-0.2059154515065547
9,35.0,100.0,11.0,1.0,5.0,4.001,4,-0.005,417.24,100717.0,286.96,-563.8,24.6,1453.8,1405.3,-1004.8,-39.8,0.0,1.2227111323977744,977.8699354819876,39.99388667371316,40,452337.35701212473,123.02,123.03,11.84,11.4,0.0,100717.0,1.4586849276845415e-05,1.6,1.5999049620681824,1.5997749202115563,-5.13519123484428,-0.096637895026695,150.61063733760705,-0.8588053391395398,-8.622402737081536,0.2649623915928391,-0.024181114222675,-0.0004550584137983,0.709210788470471,-0.0028956468678222,-0.2461034212985116,0.0008933776775016,0.7057951128056472,-0.0736065724485312,0.7092107884704709,-0.0241811538419381,0.0004529482117683,-0.0030788710973058,-0.2392879024778208,-0.2392879024778208,0.0006763755702082,0,0.03478162848341666,0.05877913494716447,0.7005107884704709,-0.23338790247782082,40.240853074415426,989.6815385201442,0.03436651839731658,-0.23060247590302785,0.6921503664202309,6.221062580459772,-1.9547179635603433,0.002679114544468602,0.0016035718327982978,-0.011560636940952995,4.002679114544469,0.03597009023011488,-0.24216311284398084
